X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0886610613915,38.8406600501322,S Randolph St & Campbell Ave,classic,0825e4d5-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:50:05+00,12,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,DCA-CABI,,38.840654,-77.088659,2024/04/01 01:52:28+00,172451679
-77.0476407613226,38.9232098562661,Calvert & Biltmore St NW,classic,0824773f-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:50:00+00,8,0,14,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.923203,-77.047637,2024/04/01 01:52:28+00,172451680
-77.0743261875801,38.9126201462335,Reservoir Rd & 38th St NW,classic,7a19d0e7-2b3c-4805-b843-1aec84a05bfe,,2024/04/01 01:50:04+00,19,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.912614,-77.074323,2024/04/01 01:52:28+00,172451681
-77.0529273987057,38.8056567626499,Commerce St & Fayette St,classic,08253b95-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:50:08+00,3,0,12,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.805648,-77.05293,2024/04/01 01:52:28+00,172451682
-77.1958492255644,38.8769235345999,Route 29 & Bisvey Dr,classic,f0101beb-a103-46e4-93f5-c7880b85411b,,2024/04/01 01:50:09+00,4,0,8,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.876912,-77.195847,2024/04/01 01:52:28+00,172451683
-77.1061183133253,38.8373123543133,N Hampton Dr & Ford Ave,classic,e456b38d-7f5e-4d06-b2bc-022b42097a06,,2024/04/01 01:50:13+00,8,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",40,DCA-CABI,,38.837306,-77.106111,2024/04/01 01:52:28+00,172451684
-77.0436837531382,38.9206800630821,Columbia Rd & Belmont St NW,classic,0824f461-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:50:11+00,13,0,5,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.920669,-77.04368,2024/04/01 01:52:28+00,172451685
-77.0675264711829,38.9037420413097,34th & Water St NW,classic,0825f3d4-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:51:09+00,11,0,8,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.903732,-77.067529,2024/04/01 01:52:28+00,172451686
-77.0660816710333,38.9121926995,33rd St & Wisconsin Ave NW,classic,1926924117062925284,,2024/04/01 01:48:16+00,13,0,6,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",,DCA-CABI,,38.912181,-77.066074,2024/04/01 01:52:28+00,172451687
-77.0064766801724,38.977944657977,Carroll & Ethan Allen Ave,classic,0825b1a2-1f3f-11e7-bf6b-3863bb334450,,2024/04/01 01:48:56+00,3,0,12,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",44,DCA-CABI,,38.977933,-77.006472,2024/04/01 01:52:28+00,172451688
